prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca,on_fast,off_fast,column_out,on_fast_ca,off_fast_ca,column_out_ca
1,0,4.5,4.5,39.8107170553497,1.1440932311004,0.00686955360589264,0.0058329670613335,0.000318258339214126,0.00136830758143235,0.0014895937736241,3.61005332261066e-05
2,0,4.5,4.5,47.171991382133,1.31037659741444,0.00741336145660814,0.00603869185425968,0.000502854981064843,0.00130221689604514,0.00138028314574148,3.89711151475793e-05
3,0,4.5,4.5,55.8944157640338,0.909172283840723,0.00737499799521752,0.00642273107553148,0.000382106124406341,0.00121021488721993,0.00127719596635891,2.37379266481967e-05
4,0,4.5,4.5,66.2296761714833,0.5351094608028,0.0072788651653726,0.00692232984663016,0.00027284992750334,0.00111008654330472,0.00118603127695199,1.24290683312622e-05
5,0,4.5,4.5,78.4759970351462,0.46271522540408,0.00711832900960002,0.00724707509672571,0.000230075948719753,0.00101876538481952,0.00110523713798693,8.70886304707531e-06
6,0,4.5,4.5,92.9867465260527,0.50911554470386,0.00704352426244922,0.00767375167342164,0.000250134064028772,0.000930500976127125,0.00103383512092825,8.78276207769677e-06
7,0,4.5,4.5,110.180633010982,0.576534927730511,0.00692610647118807,0.00815771939472622,0.000303602180943037,0.000845177453301927,0.000969193201120557,9.8908854079777e-06
8,0,4.5,4.5,130.553786902303,0.699744134754191,0.00670732269889801,0.00849270021870791,0.000409747556768342,0.000765063587436103,0.000912410277640115,1.26411122507521e-05
9,0,4.5,4.5,154.69407652462,0.906255496095291,0.00638440695677707,0.00892670105090508,0.000500419374963386,0.000684099849477323,0.000859403374972014,1.51171496421301e-05
10,0,4.5,4.5,183.298071083244,1.04906801124487,0.0059052963841371,0.00940533703259405,0.00054604930464072,0.000603768841948965,0.000810272387999144,1.68319001308709e-05
11,0,4.5,4.5,217.191140201743,1.11954381428011,0.0055150516562071,0.00986799487624256,0.000519568515727054,0.000521037952599108,0.000765052257782791,1.71117317129353e-05
12,0,4.5,4.5,257.351270001691,1.16779921055536,0.00558922882997924,0.0102226141707895,0.000458523021415617,0.000438163487826831,0.000722904049770766,1.66553298865382e-05
13,0,4.5,4.5,304.937282938726,1.19866124775815,0.00547097971106217,0.0106882328214926,0.000468643721307062,0.000360153609899122,0.000682553720410652,1.68233424289745e-05
14,0,4.5,4.5,361.322275679625,1.2087362482791,0.00513213501034054,0.0111334560961938,0.000486678301803349,0.000284427089871431,0.000643166434681696,1.61977394737018e-05
15,0,4.5,4.5,428.13323987194,1.19138454817409,0.00449761411213899,0.011551449542103,0.00046827248384934,0.000217571840243004,0.000604922418582523,1.5355614852168e-05
16,0,4.5,4.5,507.298009065373,1.10511563947491,0.00369684393595828,0.0119612219804043,0.000430029514053821,0.000163777395657721,0.000570441079513914,1.39138573226154e-05
17,0,4.5,4.5,601.100886440558,0.92253943302649,0.00256460467883467,0.0122476086064086,0.000323719905659626,0.000101290027947937,0.000532273344473211,1.04490335327047e-05
18,0,4.5,4.5,712.248558485991,0.710096008560796,0.00155163083713952,0.0124167734789067,0.000234769670165522,5.33091161087425e-05,0.000495956213491173,6.80909219619156e-06
19,0,4.5,4.5,843.948196565401,0.512567192024863,0.000687118615056182,0.0124459056455312,0.000252856488911282,2.03232257868547e-05,0.000459380874998138,3.99864308674972e-06
20,0,4.5,4.5,1000,0.408313756376998,0.000139128570801493,0.0126638813601849,0.000270523617844524,3.63894508568399e-06,0.000434153663978868,2.57055821805056e-06
21,1,4.5,4.5,39.8107170553497,1.45046917474851,0.00667971330972104,0.00605698507142779,0.000394394984153213,0.00146963818576076,0.00138466478081165,4.48938590886035e-05
22,1,4.5,4.5,47.171991382133,1.12320727810644,0.0070251019602785,0.00619663987750017,0.000344863219162623,0.00137052811362321,0.00128900693760782,3.13049120069288e-05
23,1,4.5,4.5,55.8944157640338,0.825650794272254,0.00745450390774262,0.00637668131497111,0.000286486638319208,0.00128078227290943,0.00119781997714812,2.13030405886071e-05
24,1,4.5,4.5,66.2296761714833,0.562365570702705,0.00766934200112745,0.00643759974052409,0.000217324076968997,0.00118730021880958,0.00109518899805608,1.3196892984649e-05
