prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca
5619,0,2,2,80,0.791910604407369
5620,0,4.5,2,80,0.823517554192612
5621,0,9,2,80,0.0873344853480011
5622,0,15,2,80,0.0809013908553894
5623,0,30,2,80,0.0483075340865884
5624,0,45,2,80,0.0416024897541526
5625,0,90,2,80,0.0416024897507753
5626,0,2,4.5,80,0.970205439160807
5627,0,4.5,4.5,80,0.431379677759175
5628,0,9,4.5,80,0.10663533822765
5629,0,15,4.5,80,0.117078148242575
5630,0,30,4.5,80,0.0694260752430085
5631,0,45,4.5,80,0.0587587668369322
5632,0,90,4.5,80,0.058758766829547
5633,0,2,9,80,0.694568509166658
5634,0,4.5,9,80,0.161094688873681
5635,0,9,9,80,0.156440329795709
5636,0,15,9,80,0.171773546125704
5637,0,30,9,80,0.0941427426210987
5638,0,45,9,80,0.0575738910923331
5639,0,90,9,80,0.0575738910923331
5640,0,2,15,80,0.0772648092768273
5641,0,4.5,15,80,0.15660467604739
5642,0,9,15,80,0.207167292815375
5643,0,15,15,80,0.173652978148211
5644,0,30,15,80,0.0588110932589016
5645,0,45,15,80,0.0560160174788691
5646,0,90,15,80,0.056016017478867
5647,0,2,30,80,0.19640148770498
5648,0,4.5,30,80,0.233029325567146
5649,0,9,30,80,0.0734317195967568
5650,0,15,30,80,0
5651,0,30,30,80,0
5652,0,45,30,80,0
5653,0,90,30,80,0
5654,0,2,45,80,0.101507586641206
5655,0,4.5,45,80,0.0968861430517998
5656,0,9,45,80,0
5657,0,15,45,80,0
5658,0,30,45,80,0
5659,0,45,45,80,0
5660,0,90,45,80,0
5661,0,2,90,80,0
5662,0,4.5,90,80,0
5663,0,9,90,80,0
5664,0,15,90,80,0
5665,0,30,90,80,0
5666,0,45,90,80,0
5667,0,90,90,80,0
