prot_barcode,bar_width,bar_height,number_cycles,flash_duration,bar_intensity_A,bar_intensity_B,ca
1,4.5,4.5,1,0.533333333333333,1,0,0.398144750452636
2,9,9,1,0.533333333333333,1,0,0.613960566347765
3,15,15,1,0.533333333333333,1,0,0.428233489384857
4,30,30,1,0.533333333333333,1,0,0
5,4.5,4.5,8,0.0166666666666667,1,0,6.79282138363038
6,9,9,8,0.0166666666666667,1,0,9.42740791847057
7,15,15,8,0.0166666666666667,1,0,6.83447467860698
8,30,30,8,0.0166666666666667,1,0,0
