prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca,on_fast,off_fast,column_out,on_fast_ca,off_fast_ca,column_out_ca
1,0,0.5,4.5,75,0.378083666077939,0.00359509173478125,0.00333096093382968,0.000158174427237801,0.000751767359484799,0.00079724844022218,8.84566144709134e-06
2,0,1,4.5,75,0.708746179136293,0.00478690072109899,0.00453386105846182,0.000296129757382635,0.000869513808699924,0.000925582152504796,1.68047553589665e-05
3,0,1.5,4.5,75,0.890108034819592,0.00557744449407774,0.00527919629238425,0.000386368771547315,0.000929302402999658,0.000990680533045917,2.11173334930553e-05
4,0,2,4.5,75,0.999998148678192,0.00614432500232173,0.00580435086223643,0.000445657901362953,0.000968145356252564,0.001031936601006,2.35954882057418e-05
5,0,2.5,4.5,75,1.03650072736783,0.00653980283947316,0.00622673464536988,0.000476421666585673,0.000995350109850032,0.0010611702321057,2.44804189367275e-05
6,0,3,4.5,75,1.02164782842095,0.00679338666069151,0.00653267559103977,0.000464078490777515,0.00101623554800313,0.00108355576049516,2.3800038048155e-05
7,0,3.5,4.5,75,0.926827403823009,0.00705162585839195,0.00683079930559088,0.000458273331065136,0.00103168094417072,0.00110055011480568,2.21167276358722e-05
8,0,4,4.5,75,0.621175504378963,0.00714832247908363,0.00702007916436092,0.000322542445541851,0.00103539221705913,0.00111516740488972,1.43364531271667e-05
9,0,4.5,4.5,75,0.561031823697891,0.00721498697736516,0.00719638432354424,0.000254354708236476,0.00104669823978274,0.00112599069705619,1.13644622688536e-05
10,0,5,4.5,75,0.423076324476591,0.00727162132473136,0.00733090232765333,0.000217748794698224,0.00105662810014526,0.0011372872197932,8.63654975625028e-06
11,0,5.5,4.5,75,0.179851155772938,0.00730993913612331,0.00739189600889762,0.000109430860286552,0.00105827439849023,0.00114720017845948,3.15353544533457e-06
12,0,6,4.5,75,0.126499943346006,0.00747065649581034,0.00740467469405879,0.000148933485104874,0.00106686306105133,0.00115726162559961,1.71998876509542e-06
13,0,6.5,4.5,75,0.12774080611533,0.00742938736831174,0.00742118388530215,0.00011348325609261,0.00107041184361454,0.00116847509027437,1.31501546222387e-06
14,0,7,4.5,75,0.103314991298512,0.00744104312060054,0.00739847979872604,7.18248852899594e-05,0.00107792850245386,0.00117862081498955,8.82691247207009e-07
15,0,7.5,4.5,75,0.107379688082392,0.00747463946842318,0.00742910173412907,8.24001236575309e-05,0.00107917226695486,0.0011888323583319,9.16600663211294e-07
16,0,8,4.5,75,0.103046035476057,0.0075021066794468,0.00739671247427299,7.43226617085534e-05,0.00107958969831509,0.00119965472219319,8.33248772867358e-07
17,0,8.5,4.5,75,0.106638885675513,0.00753354802409989,0.00733262586856532,6.31970746721759e-05,0.00108512983194077,0.00121021515059118,7.52026582164812e-07
18,0,9,4.5,75,0.100384060159686,0.00771080408006415,0.00724623997718538,5.4462995332222e-05,0.00109742860226856,0.00122058271999908,7.34224145034086e-07
19,0,9.5,4.5,75,0.0952069974165106,0.00757344538095268,0.00716848114386269,5.44501315330345e-05,0.00109426741128947,0.00123084498260081,7.39405054485265e-07
20,0,10,4.5,75,0.104708615436256,0.00754450724603218,0.0071727153796189,7.4966861462799e-05,0.00109973140210626,0.00123977078647185,8.64272492280043e-07
21,0,10.5,4.5,75,0.102191095353648,0.00756745177781301,0.00737750935602614,9.90548216128491e-05,0.00109959231669499,0.00124558849257976,1.04696780477384e-06
22,0,11,4.5,75,0.0992630505725039,0.00758455530619905,0.00780699273150876,8.67882675406656e-05,0.00109904450360759,0.0012487723857732,1.07543567682917e-06
23,0,11.5,4.5,75,0.105147560510605,0.00760921040451069,0.00812974455157447,0.000112503404313334,0.00110310555386406,0.00125138221933091,1.18402694786683e-06
24,0,12,4.5,75,0.10217241111903,0.00769141848729758,0.00820195123536609,9.66974726854709e-05,0.00111455349883248,0.00125356833261529,1.06030553809283e-06
25,0,12.5,4.5,75,0.0973818904538466,0.00768943399349519,0.00825363334173727,8.02258378789988e-05,0.00111871153644413,0.00125526775041767,1.04142487663975e-06
26,0,13,4.5,75,0.0977726710065541,0.00777259381770658,0.00823231041921098,9.97077813210391e-05,0.00111950924489242,0.00125599882546266,1.12958729362359e-06
27,0,13.5,4.5,75,0.0941784264679688,0.00764267038527115,0.00815737311741727,0.000100793186195014,0.00111417221477055,0.00125792846013325,1.10227958948372e-06
28,0,14,4.5,75,0.0925161920221911,0.00761985020427638,0.00811811393686762,9.00024386180046e-05,0.00111842815556557,0.0012602297523029,9.95851078527535e-07
29,0,14.5,4.5,75,0.107954531914975,0.00765290099941515,0.00808534597797895,8.13301627431896e-05,0.00111714157478028,0.00126228453859326,9.34773833898387e-07
30,0,15,4.5,75,0.105937339915814,0.00764455051127209,0.0080198345936099,7.12206851991847e-05,0.0011158538201924,0.00126455391408248,9.02745050504531e-07
31,0,15.5,4.5,75,0.106138479812392,0.00763766887441908,0.00795610324113326,6.80983675925237e-05,0.00111799616136574,0.00126685401344862,9.2020099589073e-07
32,0,16,4.5,75,0.106786635299511,0.00776532906994764,0.00788323223785126,7.02472160804106e-05,0.00112967425698353,0.00126949281101975,9.11578787464571e-07
33,0,16.5,4.5,75,0.0962055680525212,0.00789108409634171,0.00782688698375834,7.17858425024628e-05,0.00113354373921092,0.00127223906564059,9.2983932399069e-07
34,0,17,4.5,75,0.0933534816729008,0.00775881969531262,0.00779045793005739,7.5389467924545e-05,0.00112940950590792,0.00127545545627797,9.39877143447731e-07
35,0,17.5,4.5,75,0.103240950277018,0.00775794844134872,0.00795062523662795,0.000108899776973072,0.00113648913185402,0.00127613041437446,1.13587642782254e-06
36,0,18,4.5,75,0.0992934657564853,0.00785602651254803,0.00815503599486013,0.000104047580155313,0.00113781452459731,0.0012766956333513,1.11469492506426e-06
