prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca
5619,0,2,2,200,0.589487762109761
5620,0,4.5,2,200,0.882799827233873
5621,0,9,2,200,0.647153184309084
5622,0,15,2,200,0.195155129485704
5623,0,30,2,200,0.0749547620788996
5624,0,45,2,200,0.0723718302223488
5625,0,90,2,200,0.0723718302223483
5626,0,2,4.5,200,0.786208785338443
5627,0,4.5,4.5,200,1.08466816829738
5628,0,9,4.5,200,0.384674674573014
5629,0,15,4.5,200,0.252768151151714
5630,0,30,4.5,200,0.0939417842969715
5631,0,45,4.5,200,0.0906185261459183
5632,0,90,4.5,200,0.0906185261459176
5633,0,2,9,200,0.39496245752371
5634,0,4.5,9,200,0.522407422677462
5635,0,9,9,200,0.39354064216036
5636,0,15,9,200,0.338108056491863
5637,0,30,9,200,0.1042952166318
5638,0,45,9,200,0.0963967423523868
5639,0,90,9,200,0.0963967423518733
5640,0,2,15,200,0.223480981025054
5641,0,4.5,15,200,0.331467563733944
5642,0,9,15,200,0.394501384371921
5643,0,15,15,200,0.334172219329607
5644,0,30,15,200,0
5645,0,45,15,200,0
5646,0,90,15,200,0
5647,0,2,30,200,0.338234053750247
5648,0,4.5,30,200,0.413456395667904
5649,0,9,30,200,0
5650,0,15,30,200,0
5651,0,30,30,200,0
5652,0,45,30,200,0
5653,0,90,30,200,0
5654,0,2,45,200,0.121871488070644
5655,0,4.5,45,200,0.117699963708944
5656,0,9,45,200,0
5657,0,15,45,200,0
5658,0,30,45,200,0
5659,0,45,45,200,0
5660,0,90,45,200,0
5661,0,2,90,200,0
5662,0,4.5,90,200,0
5663,0,9,90,200,0
5664,0,15,90,200,0
5665,0,30,90,200,0
5666,0,45,90,200,0
5667,0,90,90,200,0
