prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca
5619,0,2,2,40,1.35890409092831
5620,0,4.5,2,40,1.48053445107529
5621,0,9,2,40,0.208077571961401
5622,0,15,2,40,0.0273556654852415
5623,0,30,2,40,0.0233059018850744
5624,0,45,2,40,0.0226422901922811
5625,0,90,2,40,0.0226422901922811
5626,0,2,4.5,40,1.51529371118102
5627,0,4.5,4.5,40,1.14285194635778
5628,0,9,4.5,40,0.0418138440522855
5629,0,15,4.5,40,0.0380286748512233
5630,0,30,4.5,40,0.0435575428780107
5631,0,45,4.5,40,0.0425230054370838
5632,0,90,4.5,40,0.0425230054370838
5633,0,2,9,40,1.22107495541798
5634,0,4.5,9,40,0.60401547816436
5635,0,9,9,40,0.0494858733502044
5636,0,15,9,40,0.0681785335571123
5637,0,30,9,40,0.0524187709265374
5638,0,45,9,40,0.0505960797113469
5639,0,90,9,40,0.0505960797113469
5640,0,2,15,40,0.0338824686398887
5641,0,4.5,15,40,0.0566375338384064
5642,0,9,15,40,0.09259555906128
5643,0,15,15,40,0.0724645036781416
5644,0,30,15,40,0.0740632288849263
5645,0,45,15,40,0.0726309522130587
5646,0,90,15,40,0.0726309522130587
5647,0,2,30,40,0.100068367406725
5648,0,4.5,30,40,0.135820710402638
5649,0,9,30,40,0.0718303024099343
5650,0,15,30,40,0
5651,0,30,30,40,0
5652,0,45,30,40,0
5653,0,90,30,40,0
5654,0,2,45,40,0.0545783309631504
5655,0,4.5,45,40,0.0790376440423621
5656,0,9,45,40,0
5657,0,15,45,40,0
5658,0,30,45,40,0
5659,0,45,45,40,0
5660,0,90,45,40,0
5661,0,2,90,40,0
5662,0,4.5,90,40,0
5663,0,9,90,40,0
5664,0,15,90,40,0
5665,0,30,90,40,0
5666,0,45,90,40,0
5667,0,90,90,40,0
