prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca
5619,0,2,2,100,0.724794826507411
5620,0,4.5,2,100,0.763013311021353
5621,0,9,2,100,0.106860263353565
5622,0,15,2,100,0.106835780445368
5623,0,30,2,100,0.0425288079591372
5624,0,45,2,100,0.042022386347085
5625,0,90,2,100,0.042022386347085
5626,0,2,4.5,100,0.8962068648394
5627,0,4.5,4.5,100,0.459199664254545
5628,0,9,4.5,100,0.139476376018487
5629,0,15,4.5,100,0.145938689967681
5630,0,30,4.5,100,0.0579546646135226
5631,0,45,4.5,100,0.0578041023728902
5632,0,90,4.5,100,0.0578041023728902
5633,0,2,9,100,0.614611323531915
5634,0,4.5,9,100,0.180731824958621
5635,0,9,9,100,0.203113992058936
5636,0,15,9,100,0.214182886265705
5637,0,30,9,100,0.0749711313947364
5638,0,45,9,100,0.0742294067139478
5639,0,90,9,100,0.0742294067139477
5640,0,2,15,100,0.108191285861871
5641,0,4.5,15,100,0.200508043734594
5642,0,9,15,100,0.248070546348268
5643,0,15,15,100,0.215553916141521
5644,0,30,15,100,0.0557958909472675
5645,0,45,15,100,0.0518397566252314
5646,0,90,15,100,0.0518397566248849
5647,0,2,30,100,0.228882960581018
5648,0,4.5,30,100,0.283487691462101
5649,0,9,30,100,0.0423103729932104
5650,0,15,30,100,0
5651,0,30,30,100,0
5652,0,45,30,100,0
5653,0,90,30,100,0
5654,0,2,45,100,0.101102618719961
5655,0,4.5,45,100,0.114099513220669
5656,0,9,45,100,0
5657,0,15,45,100,0
5658,0,30,45,100,0
5659,0,45,45,100,0
5660,0,90,45,100,0
5661,0,2,90,100,0
5662,0,4.5,90,100,0
5663,0,9,90,100,0
5664,0,15,90,100,0
5665,0,30,90,100,0
5666,0,45,90,100,0
5667,0,90,90,100,0
